time_s,SRCE A_v_pu,BUS  A_v_pu,SRCE B_v_pu,BUS  B_v_pu,SRCE C_v_pu,BUS  C_v_pu,BANK A_v_pu,BANK N_v_pu,BANK B_v_pu,BANK C_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,branch_voltage_branch_fixed_4_pu,branch_voltage_branch_fixed_5_pu,branch_voltage_branch_fixed_6_pu,switch_voltage_switch_fixed_1_pu,switch_voltage_switch_fixed_2_pu,switch_voltage_switch_fixed_3_pu
0,1,0.999985787972,-0.5,-0.503257686442,-0.5,-0.49672810153,0.999985787972,-7.35600548658e-17,-0.503257686442,-0.49672810153,0.999985787972,-0.503257686442,-0.49672810153,-7.35600548658e-17,0.999985787972,-0.503257686442,-0.49672810153,0.999985787972,-0.503257686442,-0.49672810153,0,0,0
5e-05,0.999822352381,0.999879199737,-0.483587948576,-0.486880954712,-0.516234403805,-0.512998245025,0.999879199742,3.27211575611e-15,-0.486880955041,-0.512998244701,0.999879199742,-0.486880955041,-0.512998244701,3.27211575611e-15,0.999879199737,-0.486880954712,-0.512998245025,0.999879199742,-0.486880955041,-0.512998244701,-5.68478597529e-12,3.29300586799e-10,-3.23615911846e-10
0.0001,0.999289472641,0.999417360892,-0.467004080655,-0.470331040312,-0.532285391985,-0.52908632058,0.999417360904,3.14123112586e-15,-0.470331040645,-0.52908632026,0.999417360904,-0.470331040645,-0.52908632026,3.14123112586e-15,0.999417360892,-0.470331040312,-0.52908632058,0.999417360904,-0.470331040645,-0.52908632026,-1.2788770043e-11,3.32696037386e-10,-3.1990710081e-10
0.00015,0.998401550109,0.99860043306,-0.450254288409,-0.453614103506,-0.5481472617,-0.544986329553,0.998600433079,3.17395228343e-15,-0.453614103842,-0.544986329237,0.998600433079,-0.453614103842,-0.544986329237,3.17395228343e-15,0.99860043306,-0.453614103506,-0.544986329553,0.998600433079,-0.453614103842,-0.544986329237,-1.98882021962e-11,3.35981520383e-10,-3.16093151653e-10
0.0002,0.997158900261,0.997428707573,-0.433344522958,-0.436735963781,-0.563814377303,-0.560692743792,0.9974287076,3.17395228343e-15,-0.43673596412,-0.56069274348,0.9974287076,-0.43673596412,-0.56069274348,3.17395228343e-15,0.997428707573,-0.436735963781,-0.560692743792,0.9974287076,-0.43673596412,-0.56069274348,-2.69807509667e-11,3.39144101691e-10,-3.12163406235e-10
0.00025,0.995561964603,0.995902600277,-0.416280792261,-0.419702669271,-0.579281172342,-0.576199931006,0.995902600311,3.1085099683e-15,-0.419702669613,-0.576199930698,0.995902600311,-0.419702669613,-0.576199930698,3.1085099683e-15,0.995902600277,-0.419702669271,-0.576199931006,0.995902600311,-0.419702669613,-0.576199930698,-3.40635297746e-11,3.42187667091e-10,-3.08124192827e-10
0.0003,0.99361131052,0.994022653589,-0.399069158981,-0.402520249791,-0.594542151539,-0.591502403799,0.994022653631,3.1085099683e-15,-0.402520250136,-0.591502403495,0.994022653631,-0.402520250136,-0.591502403495,3.1085099683e-15,0.994022653589,-0.402520249791,-0.591502403799,0.994022653631,-0.402520250136,-0.591502403495,-4.11343181739e-11,3.45109107958e-10,-3.03974845295e-10
0.00035,0.99130763107,0.99178953536,-0.381715738329,-0.385194819616,-0.609591892741,-0.606594715745,0.991789535408,3.07578881074e-15,-0.385194819964,-0.606594715445,0.991789535408,-0.385194819964,-0.606594715445,3.07578881074e-15,0.99178953536,-0.385194819616,-0.606594715745,0.991789535408,-0.385194819964,-0.606594715445,-4.81904516292e-11,3.47908146736e-10,-2.99717695107e-10
0.0004,0.988651744738,0.989204039043,-0.364226695892,-0.367732530341,-0.624425048846,-0.621471508701,0.989204039098,3.17395228343e-15,-0.367732530692,-0.621471508406,0.989204039098,-0.367732530692,-0.621471508406,3.17395228343e-15,0.989204039043,-0.367732530341,-0.621471508701,0.989204039098,-0.367732530692,-0.621471508406,-5.52294876499e-11,3.50583451159e-10,-2.95353963509e-10
0.00045,0.985644595149,0.986267083235,-0.346608245445,-0.35013958797,-0.639036349704,-0.636127495266,0.986267083298,3.07578881074e-15,-0.350139588323,-0.636127494975,0.986267083298,-0.350139588323,-0.636127494975,3.07578881074e-15,0.986267083235,-0.35013958797,-0.636127495266,0.986267083298,-0.350139588323,-0.636127494975,-6.22487617008e-11,3.53134244069e-10,-2.90885426857e-10
